mapper                 time
bwa                    0.25
bwa                    0.11
bwa                    0.10
bwa                    0.10
bwa                    0.10
match_readmapper       3.30
match_readmapper       3.54
match_readmapper       3.44
match_readmapper       3.34
match_readmapper       3.33
ac_readmapper          6.28
ac_readmapper          7.13
ac_readmapper          6.05
ac_readmapper          6.18
ac_readmapper          6.58
bw_readmapper          5.82
bw_readmapper          4.94
bw_readmapper          5.51
bw_readmapper          5.46
bw_readmapper          5.23
