mapper                 time
bwa                    0.27
bwa                    0.09
bwa                    0.09
bwa                    0.09
bwa                    0.09
match_readmapper       6.30
match_readmapper       6.11
match_readmapper       6.17
match_readmapper       6.09
match_readmapper       6.19
ac_readmapper         10.56
ac_readmapper         10.41
ac_readmapper         10.50
ac_readmapper         10.34
ac_readmapper         10.55
bw_readmapper         62.19
bw_readmapper         63.61
bw_readmapper         62.05
bw_readmapper         64.25
bw_readmapper         63.16
